id,gx_id,ticker,ex_date,payable_date,dvd_amount,currency
3195,NULL,NA CN,1985-12-20 00:00:00.000,1986-02-01 00:00:00.000,0.0625,CAD
3196,NULL,NA CN,1985-09-23 00:00:00.000,1985-11-01 00:00:00.000,0.0575,CAD
3197,NULL,NA CN,1985-06-21 00:00:00.000,1985-08-01 00:00:00.000,0.0575,CAD
3198,NULL,NA CN,1985-03-22 00:00:00.000,1985-05-01 00:00:00.000,0.0575,CAD
3199,NULL,NA CN,1984-12-20 00:00:00.000,1985-02-01 00:00:00.000,0.05,CAD
3871,NULL,RY CN,2024-04-24 00:00:00.000,2024-05-24 00:00:00.000,1.38,CAD
3872,NULL,RY CN,2024-01-24 00:00:00.000,2024-02-23 00:00:00.000,1.38,CAD
3873,NULL,RY CN,2023-10-25 00:00:00.000,2023-11-24 00:00:00.000,1.35,CAD
3874,NULL,RY CN,2023-07-25 00:00:00.000,2023-08-24 00:00:00.000,1.35,CAD
3875,NULL,RY CN,2023-04-24 00:00:00.000,2023-05-24 00:00:00.000,1.32,CAD
3876,NULL,RY CN,2023-01-25 00:00:00.000,2023-02-24 00:00:00.000,1.32,CAD
3877,NULL,RY CN,2022-10-25 00:00:00.000,2022-11-24 00:00:00.000,1.28,CAD
3878,NULL,RY CN,2022-07-25 00:00:00.000,2022-08-24 00:00:00.000,1.28,CAD
